trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5193.25,5301.26,0.82778933,82.83,2.08,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5518.10,7336.60,1.65208461,2986.13,32.96,18.17,vdo_trend_accel,trailing_stop
3,2019-05-19T04:00:00Z,2019-05-23T00:00:00Z,1558238400000,1558569600000,7924.27,7620.17,1.48587088,-468.84,-3.84,3.83,vdo_trend_accel,emergency_dd
4,2019-05-24T12:00:00Z,2019-06-04T00:00:00Z,1558699200000,1559606400000,8142.72,8107.55,1.24752687,-59.05,-0.43,10.50,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7885.99,11818.17,1.52213342,5958.32,49.86,21.50,vdo_trend_accel,trailing_stop
6,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11441.57,11178.32,1.21590133,-340.47,-2.30,9.00,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10544.36,9920.66,1.06175211,-678.02,-5.92,5.33,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-10T12:00:00Z,1564027200000,1565438400000,9880.44,11383.84,1.65683848,2462.60,15.22,16.33,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10333.08,9976.79,1.82081201,-676.00,-3.45,5.00,vdo_trend_accel,emergency_dd
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10271.77,9675.55,1.57537700,-962.15,-5.80,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9641.72,10289.92,1.87647905,1187.38,6.72,9.17,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10244.81,9812.88,1.84599296,-824.51,-4.22,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10155.66,9692.50,1.15588344,-552.16,-4.56,4.00,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8244.60,9055.06,2.01860474,1608.58,9.83,36.17,vdo_dip_buy,trailing_stop
15,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9276.33,8470.97,1.82703226,-1494.64,-8.68,13.67,vdo_trend,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8490.49,7623.80,0.73947900,-649.36,-10.21,4.50,vdo_trend_accel,emergency_dd
17,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9180.43,9736.17,1.79811076,973.02,6.05,30.50,vdo_trend_accel,trailing_stop
18,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9829.72,9138.93,1.84979538,-1303.17,-7.03,7.67,vdo_trend_accel,emergency_dd
19,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8713.12,8732.56,1.85845151,11.79,0.22,8.50,vdo_trend_accel,trailing_stop
20,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7935.52,7384.73,1.14969581,-645.98,-6.94,1.17,vdo_trend_accel,emergency_dd
21,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9182.43,8614.11,0.15695543,-91.23,-6.19,8.83,vdo_trend,trailing_stop
22,2020-05-17T16:00:00Z,2020-05-20T16:00:00Z,1589731200000,1589990400000,9851.39,9405.10,1.14643028,-527.81,-4.53,3.00,vdo_trend_accel,emergency_dd
23,2020-05-23T04:00:00Z,2020-06-04T08:00:00Z,1590206400000,1591257600000,9171.59,9639.94,1.61427404,732.71,5.11,12.17,vdo_trend_accel,trailing_stop
24,2020-06-05T00:00:00Z,2020-06-27T20:00:00Z,1591315200000,1593288000000,9632.36,8928.51,1.64388356,-1179.06,-7.31,22.83,vdo_trend_accel,emergency_dd
25,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9196.99,11060.29,1.59286662,2941.57,20.26,34.17,vdo_trend_accel,trailing_stop
26,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11906.73,11519.70,1.41386867,-571.63,-3.25,11.83,vdo_trend_accel,emergency_dd
27,2020-08-23T00:00:00Z,2020-09-03T16:00:00Z,1598140800000,1599148800000,11701.34,10659.61,1.41891244,-1500.81,-8.90,11.67,vdo_trend_accel,emergency_dd
28,2020-09-06T08:00:00Z,2020-09-21T16:00:00Z,1599379200000,1600704000000,10250.81,10408.35,1.47036657,208.70,1.54,15.33,vdo_trend_accel,trailing_stop
29,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10734.25,13125.73,1.45901367,3460.49,22.28,33.00,vdo_trend,trailing_stop
30,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,13911.86,17593.31,1.35278320,4944.51,26.46,26.00,vdo_trend,trailing_stop
31,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,18056.44,18305.79,1.28482206,285.10,1.38,10.50,vdo_trend_accel,trailing_stop
32,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18473.04,34337.89,1.26806429,20052.33,85.88,30.17,vdo_trend_accel,trailing_stop
33,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,1610553600000,1611115200000,36457.73,35027.44,0.77458622,-1148.58,-3.92,6.50,vdo_trend,trailing_stop
34,2021-01-23T04:00:00Z,2021-02-07T16:00:00Z,1611374400000,1612713600000,35286.67,37883.21,0.79779954,2026.18,7.36,15.50,vdo_trend,trailing_stop
35,2021-02-08T16:00:00Z,2021-02-23T04:00:00Z,1612800000000,1614052800000,47586.83,51848.84,0.77744842,3253.03,8.96,14.50,vdo_trend_accel,trailing_stop
36,2021-03-02T00:00:00Z,2021-03-16T04:00:00Z,1614643200000,1615867200000,51693.48,54218.40,0.87070684,2127.65,4.88,14.17,vdo_trend_accel,trailing_stop
37,2021-03-20T16:00:00Z,2021-04-17T16:00:00Z,1616256000000,1618675200000,58224.59,60204.40,0.80028074,1512.13,3.40,28.00,vdo_trend_accel,trailing_stop
38,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,1619323200000,1620172800000,51496.38,53151.86,0.92956545,1464.77,3.21,9.83,vdo_trend,trailing_stop
39,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58046.00,48521.41,0.28021289,-2689.31,-16.41,7.33,vdo_trend_accel,fixed_stop
40,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,39661.32,33283.11,0.25843661,-1661.26,-16.08,3.33,vdo_trend_accel,fixed_stop
41,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,1627689600000,1629345600000,42568.05,44002.93,0.42729735,584.92,3.37,19.17,vdo_trend_accel,trailing_stop
42,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,1629403200000,1629979200000,47483.65,46789.08,0.85033133,-650.29,-1.46,6.67,vdo_trend_accel,trailing_stop
43,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,1630080000000,1631073600000,48682.32,46403.96,0.95849060,-2250.50,-4.68,11.50,vdo_trend_accel,trailing_stop
44,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,1631347200000,1632124800000,45089.03,44785.19,0.31786481,-117.93,-0.67,9.00,vdo_trend,trailing_stop
45,2021-09-22T16:00:00Z,2021-09-29T00:00:00Z,1632326400000,1632873600000,43683.41,40984.00,1.00889374,-2785.44,-6.18,6.33,vdo_trend_accel,emergency_dd
46,2021-09-30T20:00:00Z,2021-10-22T00:00:00Z,1633032000000,1634860800000,45984.14,62130.97,0.89620153,14387.29,35.11,21.17,vdo_trend_accel,trailing_stop
47,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1635134400000,1636718400000,62640.03,63689.45,0.88264670,841.94,1.68,18.33,vdo_trend_accel,trailing_stop
48,2021-11-15T08:00:00Z,2021-12-04T00:00:00Z,1636963200000,1638576000000,59641.62,53547.46,0.92547924,-5714.35,-10.22,18.67,vdo_trend,emergency_dd
49,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49476.49,47204.78,0.83018980,-1944.74,-4.59,1.67,vdo_trend_accel,emergency_dd
50,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48809.54,47641.78,0.66111783,-819.27,-2.39,13.83,vdo_trend_accel,trailing_stop
51,2021-12-31T16:00:00Z,2022-01-08T20:00:00Z,1640966400000,1641672000000,48053.39,40790.24,0.31039781,-2273.46,-15.11,8.17,vdo_trend_accel,fixed_stop
52,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28450.40,29808.47,1.59605076,2096.19,4.77,18.00,vdo_trend_accel,trailing_stop
53,2023-04-18T12:00:00Z,2023-04-20T00:00:00Z,1681819200000,1681948800000,30410.77,28768.31,0.88678111,-1494.77,-5.40,1.50,vdo_trend_accel,emergency_dd
54,2023-04-22T16:00:00Z,2023-05-01T16:00:00Z,1682179200000,1682956800000,27682.36,28142.48,1.43412450,599.32,1.66,9.00,vdo_dip_buy,trailing_stop
55,2023-05-04T08:00:00Z,2023-06-15T04:00:00Z,1683187200000,1686801600000,27806.37,25040.29,1.70174082,-4771.07,-9.95,41.83,vdo_trend,emergency_dd
56,2023-06-16T00:00:00Z,2023-07-08T08:00:00Z,1686873600000,1688803200000,27308.21,30163.17,1.56523867,4397.88,10.45,22.33,vdo_trend_accel,trailing_stop
57,2023-07-09T16:00:00Z,2023-07-24T12:00:00Z,1688918400000,1690200000000,30609.88,29240.73,1.53397917,-2167.53,-4.47,14.83,vdo_trend_accel,emergency_dd
58,2023-07-28T16:00:00Z,2023-08-17T16:00:00Z,1690560000000,1692288000000,29394.24,27906.09,1.49546901,-2288.07,-5.06,20.00,vdo_trend_accel,emergency_dd
59,2023-08-18T08:00:00Z,2023-08-31T20:00:00Z,1692345600000,1693512000000,26277.47,26136.63,1.66287596,-299.39,-0.54,13.50,vdo_dip_buy,trailing_stop
60,2023-10-02T04:00:00Z,2023-10-29T04:00:00Z,1696219200000,1698552000000,28554.80,33936.91,1.32097205,7042.36,18.85,27.00,vdo_trend_accel,trailing_stop
61,2023-11-01T00:00:00Z,2023-11-15T04:00:00Z,1698796800000,1700020800000,35128.75,35346.63,1.39832239,230.52,0.62,14.17,vdo_trend,trailing_stop
62,2023-11-15T20:00:00Z,2023-12-11T20:00:00Z,1700078400000,1702324800000,37597.11,40739.22,1.28304569,3953.07,8.36,26.00,vdo_trend_accel,trailing_stop
63,2023-12-13T16:00:00Z,2024-01-13T04:00:00Z,1702483200000,1705118400000,42363.58,42567.34,1.27839586,178.85,0.48,30.50,vdo_trend_accel,trailing_stop
64,2024-01-16T16:00:00Z,2024-01-22T20:00:00Z,1705420800000,1705953600000,43295.71,39780.50,0.44115905,-1577.09,-8.12,6.17,vdo_trend_accel,emergency_dd
65,2024-01-23T16:00:00Z,2024-02-24T00:00:00Z,1706025600000,1708732800000,39717.59,50693.42,1.27078065,13851.25,27.63,31.33,vdo_dip_buy,trailing_stop
66,2024-02-25T04:00:00Z,2024-03-05T20:00:00Z,1708833600000,1709668800000,54375.58,61349.58,1.11755052,7690.96,12.83,9.67,vdo_trend_accel,trailing_stop
67,2024-03-19T00:00:00Z,2024-04-02T08:00:00Z,1710806400000,1712044800000,67358.89,66389.06,1.05334050,-1126.46,-1.44,14.33,vdo_trend,trailing_stop
68,2024-04-04T16:00:00Z,2024-04-14T00:00:00Z,1712246400000,1713052800000,69530.80,63860.61,0.99876214,-5758.84,-8.15,9.33,vdo_trend_accel,emergency_dd
69,2024-04-17T00:00:00Z,2024-04-26T16:00:00Z,1713312000000,1714147200000,63195.20,63439.73,1.00775483,150.53,0.39,9.67,vdo_trend_accel,trailing_stop
70,2024-04-30T04:00:00Z,2024-05-23T20:00:00Z,1714449600000,1716494400000,62442.68,67132.80,1.04199719,4782.16,7.51,23.67,vdo_trend_accel,trailing_stop
71,2024-05-27T16:00:00Z,2024-06-11T12:00:00Z,1716825600000,1718107200000,69616.09,66823.13,0.88072947,-2548.13,-4.01,14.83,vdo_trend_accel,emergency_dd
72,2024-06-12T16:00:00Z,2024-06-17T16:00:00Z,1718208000000,1718640000000,68589.17,65302.65,0.67289871,-2277.41,-4.79,5.00,vdo_trend_accel,emergency_dd
73,2024-06-20T08:00:00Z,2024-06-24T12:00:00Z,1718870400000,1719230400000,64963.92,61230.67,0.94434595,-3612.21,-5.75,4.17,vdo_trend_accel,emergency_dd
74,2024-06-26T04:00:00Z,2024-07-05T00:00:00Z,1719374400000,1720137600000,61425.20,56992.98,0.97859346,-4420.99,-7.22,8.83,vdo_trend_accel,emergency_dd
75,2024-07-06T16:00:00Z,2024-07-08T04:00:00Z,1720281600000,1720411200000,57482.78,55104.85,0.79190163,-1948.54,-4.14,1.50,vdo_trend_accel,emergency_dd
76,2024-07-16T16:00:00Z,2024-07-30T20:00:00Z,1721145600000,1722369600000,66226.69,65865.12,0.82361938,-379.17,-0.55,14.17,vdo_trend,trailing_stop
77,2024-08-06T04:00:00Z,2024-08-19T00:00:00Z,1722916800000,1724025600000,57036.69,58368.94,0.94130552,1171.64,2.34,12.83,vdo_trend_accel,trailing_stop
78,2024-08-20T04:00:00Z,2024-08-27T16:00:00Z,1724126400000,1724774400000,60742.62,61647.44,0.79368428,644.74,1.49,7.50,vdo_trend_accel,trailing_stop
79,2024-08-31T00:00:00Z,2024-09-30T16:00:00Z,1725062400000,1727712000000,60858.56,63497.87,0.90887401,2312.24,4.34,30.67,vdo_trend,trailing_stop
80,2024-10-04T08:00:00Z,2024-10-23T12:00:00Z,1728028800000,1729684800000,62461.11,66347.60,0.94328463,3572.19,6.22,19.17,vdo_trend_accel,trailing_stop
81,2024-10-24T20:00:00Z,2024-11-01T08:00:00Z,1729800000000,1730448000000,67720.65,69204.44,0.89958457,1241.41,2.19,7.50,vdo_trend_accel,trailing_stop
82,2024-11-04T04:00:00Z,2024-11-24T16:00:00Z,1730692800000,1732464000000,70403.88,95805.64,0.87030275,21982.15,36.08,20.50,vdo_trend_accel,trailing_stop
83,2024-11-27T16:00:00Z,2024-12-09T20:00:00Z,1732723200000,1733774400000,96238.89,96973.28,0.84184905,495.80,0.76,12.17,vdo_trend_accel,trailing_stop
84,2024-12-11T16:00:00Z,2024-12-19T00:00:00Z,1733932800000,1734566400000,101573.64,100103.83,0.82781814,-1341.03,-1.45,7.33,vdo_trend_accel,trailing_stop
85,2024-12-22T00:00:00Z,2025-01-07T20:00:00Z,1734825600000,1736280000000,95941.75,96355.56,0.86890430,233.97,0.43,16.83,vdo_trend,trailing_stop
86,2025-01-10T20:00:00Z,2025-01-23T12:00:00Z,1736539200000,1737633600000,96062.73,101842.58,0.85745105,4824.95,6.02,12.67,vdo_trend_accel,trailing_stop
87,2025-01-24T16:00:00Z,2025-02-02T20:00:00Z,1737734400000,1738526400000,105225.30,98174.92,0.82461201,-5935.26,-6.70,9.17,vdo_trend_accel,emergency_dd
88,2025-02-04T20:00:00Z,2025-02-25T08:00:00Z,1738699200000,1740470400000,98014.96,89230.71,0.81648960,-7281.53,-8.96,20.50,vdo_trend_accel,emergency_dd
89,2025-02-26T04:00:00Z,2025-02-26T20:00:00Z,1740542400000,1740600000000,88319.04,83773.14,0.60838268,-2842.09,-5.15,0.67,vdo_dip_buy,emergency_dd
90,2025-02-27T20:00:00Z,2025-03-04T08:00:00Z,1740686400000,1741075200000,85214.51,83103.23,0.82680939,-1848.69,-2.48,4.50,vdo_dip_buy,trailing_stop
